0.0,0.2,N
0.2,2.3000000000000003,F#m
2.3000000000000003,4.4,E
4.4,8.5,D
8.5,10.4,F#m
10.4,12.3,E
12.3,16.3,D
16.3,18.2,F#m
18.2,20.3,E
20.3,24.200000000000003,D
24.200000000000003,26.3,F#m
26.3,28.3,E
28.3,32.300000000000004,D
32.300000000000004,34.300000000000004,F#m
34.300000000000004,36.300000000000004,E
36.300000000000004,40.2,D
40.2,42.300000000000004,F#m
42.300000000000004,44.2,E
44.2,48.2,D
48.2,50.2,F#m
50.2,52.300000000000004,E
52.300000000000004,56.300000000000004,D
56.300000000000004,58.300000000000004,F#m
58.300000000000004,60.300000000000004,E
60.300000000000004,64.3,D
64.3,66.3,F#m
66.3,68.3,E
68.3,74.3,D
74.3,76.3,E
76.3,80.80000000000001,D
80.80000000000001,82.2,F#m
82.2,84.4,E
84.4,90.30000000000001,D
90.30000000000001,92.2,E
92.2,97.10000000000001,D
97.10000000000001,99.4,N
99.4,102.2,F#m
102.2,104.4,E
104.4,108.60000000000001,D
108.60000000000001,110.2,F#m
110.2,112.4,E
112.4,116.4,D
116.4,118.30000000000001,F#m
118.30000000000001,120.4,E
120.4,124.5,D
124.5,126.30000000000001,F#m
126.30000000000001,128.3,E
128.3,132.1,D
132.1,134.3,F#m
134.3,136.3,E
136.3,140.4,D
140.4,142.3,F#m
142.3,144.3,E
144.3,148.3,D
148.3,150.20000000000002,F#m
150.20000000000002,152.4,E
152.4,156.4,D
156.4,158.3,F#m
158.3,160.3,E
160.3,166.3,D
166.3,168.20000000000002,E
168.20000000000002,173.20000000000002,D
173.20000000000002,178.4,N
