0.0,1.0,N
1.0,2.9000000000000004,E
2.9000000000000004,5.0,B
5.0,8.8,E
8.8,10.9,A
10.9,17.0,E
17.0,20.900000000000002,B
20.900000000000002,21.6,E
21.6,23.0,N
23.0,25.0,E
25.0,27.3,A
27.3,28.200000000000003,E
28.200000000000003,29.400000000000002,N
29.400000000000002,32.9,E
32.9,34.9,B
34.9,41.0,E
41.0,43.0,A
43.0,49.300000000000004,E
49.300000000000004,50.0,Bm
50.0,52.900000000000006,B
52.900000000000006,57.0,E
57.0,58.900000000000006,A
58.900000000000006,64.9,E
64.9,66.9,B
66.9,69.0,E
69.0,70.8,N
70.8,72.8,E
72.8,74.8,A
74.8,80.9,E
80.9,81.60000000000001,B
81.60000000000001,82.60000000000001,N
82.60000000000001,83.0,B
83.0,88.9,E
88.9,90.9,A
90.9,96.9,E
96.9,101.0,B
101.0,101.60000000000001,Em
101.60000000000001,105.10000000000001,E
105.10000000000001,107.2,A
107.2,113.0,E
113.0,115.0,B
115.0,120.9,E
120.9,123.0,A
123.0,125.4,E
125.4,126.5,N
126.5,129.0,E
129.0,133.0,B
133.0,133.8,E
133.8,135.9,N
135.9,136.9,E
136.9,139.0,A
139.0,139.5,E
139.5,140.3,N
140.3,143.3,E
143.3,144.20000000000002,N
144.20000000000002,144.9,E
144.9,145.6,B
145.6,146.9,N
146.9,148.5,E
148.5,150.8,G
150.8,154.8,A
154.8,155.3,Fm
155.3,155.9,E
155.9,157.70000000000002,A
157.70000000000002,159.20000000000002,G
159.20000000000002,165.0,A
165.0,168.3,E
168.3,170.3,A
170.3,176.3,E
176.3,180.4,B
180.4,184.4,E
184.4,186.4,A
186.4,192.60000000000002,E
192.60000000000002,194.60000000000002,B
194.60000000000002,200.60000000000002,E
200.60000000000002,202.60000000000002,A
202.60000000000002,204.0,E
204.0,205.70000000000002,N
205.70000000000002,208.70000000000002,E
208.70000000000002,212.5,B
212.5,216.5,E
216.5,218.8,A
218.8,224.70000000000002,E
224.70000000000002,226.8,B
226.8,228.70000000000002,E
228.70000000000002,230.8,B
230.8,235.70000000000002,E
235.70000000000002,238.0,B
238.0,242.60000000000002,E
242.60000000000002,245.20000000000002,N
245.20000000000002,251.60000000000002,E
251.60000000000002,259.6,N
