0.0,0.2,N
0.2,2.3000000000000003,F#m
2.3000000000000003,4.4,E
4.4,8.4,D
8.4,10.4,F#m
10.4,12.3,E
12.3,16.400000000000002,D
16.400000000000002,18.2,F#m
18.2,20.3,E
20.3,24.3,D
24.3,26.3,F#m
26.3,28.200000000000003,E
28.200000000000003,32.4,D
32.4,34.2,F#m
34.2,36.300000000000004,E
36.300000000000004,40.400000000000006,D
40.400000000000006,42.300000000000004,F#m
42.300000000000004,44.2,E
44.2,48.300000000000004,D
48.300000000000004,50.2,F#m
50.2,52.300000000000004,E
52.300000000000004,56.400000000000006,D
56.400000000000006,58.300000000000004,F#m
58.300000000000004,60.2,E
60.2,64.4,D
64.4,66.3,F#m
66.3,68.3,E
68.3,74.3,D
74.3,76.3,E
76.3,80.80000000000001,D
80.80000000000001,82.2,F#m
82.2,84.30000000000001,E
84.30000000000001,90.30000000000001,D
90.30000000000001,92.2,E
92.2,97.10000000000001,D
97.10000000000001,99.4,N
99.4,102.2,F#m
102.2,104.4,E
104.4,108.60000000000001,D
108.60000000000001,110.2,F#m
110.2,112.4,E
112.4,116.4,D
116.4,118.30000000000001,F#m
118.30000000000001,120.4,E
120.4,124.5,D
124.5,126.30000000000001,F#m
126.30000000000001,128.3,E
128.3,132.20000000000002,D
132.20000000000002,134.3,F#m
134.3,136.3,E
136.3,140.5,D
140.5,142.3,F#m
142.3,144.20000000000002,E
144.20000000000002,148.4,D
148.4,149.9,F#m
149.9,150.3,D
150.3,152.4,E
152.4,158.3,D
158.3,160.20000000000002,E
160.20000000000002,166.3,D
166.3,168.20000000000002,E
168.20000000000002,173.20000000000002,D
173.20000000000002,178.4,N
